NIC4 98,NIC3 87
111,000+001+002+003+004+005+006+008+009+012+013+018
112,7
113,010+011+014+015+016+017+019
121,020+021+022+023
122,024+025+026+027+029
140,030+031+032+033+034+035+036+037+039+230
150,40
200,050+051+052+053+054+059
500,060+061+062+063+064+069
1010,100
1020,101
1030,102
1110,110+111
1120,190
1200,140
1310,120
1320,130+131+132+133+134+135+136+137+138+139
1410,150+151+153
1421,152
1422,154
1429,155+156+159
1511,200
1512,203
1513,202
1514,210+211+212
1520,201
1531,204
1532,218
1533,217
1541,205
1542,206+207
1543,209
1544,213+214+215+219
1551,220+223
1552,221
1553,222
1554,216+224
1600,225+226+227+228+229
1711,2231+232+233+234+235+240+241+242+244+245+247+250+251+252+253+254+255+256
1712,236+243+246+248+257+258+259
1721,267+268
1722,263+264
1723,261
1729,262+269
1730,260
1810,265+266+292+964
1820,294+295+296
1911,290
1912,293+299
1920,291+311
2010,270
2021,271
2022,272
2023,273
2029,274+275+279
2101,280
2102,281
2109,282+283
2211,285
2212,284
2213,
2221,286+289
2222,287+288
2230,
2310,318+319
2320,314+315+316
2230,317
2411,300
2412,301
2413,302
2422,303
2423,304
2424,305
2429,208+307+309+308
2430,306
2511,310
2519,312
2520,313
2610,321
2691,322+323
2692,320
2694,324
2695,327
2696,326
2699,325+329
2710,330+331+332
2720,333+334+335+336+3338+339
2731,337
2811,340
2812,341
2813,352
2891,344
2892,345
2893,343+346
2899,349
2912,356+391
2919,354+359+393+397+399
2921,350+390
2922,357+392
2924,351
2925,353
2930,355+364+388
3000,358+367
3110,360+395
3130,361
3140,362
3150,363
3190,369
3210,368
3220,365+396
3230,366
3311,380
3320,381
3330,382
3410,373+374
3511,370
3520,371+372
3530,377
3591,375
3592,376
3599,378+379
3610,276+277+342
3691,383+384
3692,386
3693,385
3694,387+389
3710,
3720,
4010,400+401+430+431+432+439
4020,410
4030,
4100,420
4510,199+500+501+502+503+504+505+506+509
4530,510+511+514+519
4540,512+513+515
5010,623+686
5020,398+974
5110,640+641+642+649
5121,600+603+604+605
5122,601+606+607+608
5131,609+612
5139,611+615+617+618+622+630+631+634+636+637+639
5141,613+614
5142,619
5143,610+632+633
5149,602+616+638
5150,620+621+635+684+685
5190,840
5211,688+841
5220,650+651+652+653+654+655+656+659
5231,687
5232,660+661+671
5233,672+673+674+675+679
5234,683
5239,670+676+680+682+689
5240,
5260,970+971+972+973+975+979
5510,691
5520,690
6010,700
6021,701
6022,702+709
6023,703+704+705+706
6030,707
6110,710
6120,711
6210,720
6301,730+731+732
6302,740+741+749
6303,708+712+721
6304,737
6309,738+739
6411,750
6412,751
6420,752+759
6511,800
6591,801
6599,802
6601,811
6602,810
6603,819
6712,803
6719,804
6720,812
7010,820
7111,733+734+850
7112,736
7113,735
7121,851
7122,853
7123,852
7130,854
7210,892
7250,394
7310,922
7411,830
7412,891
7413,893
7421,894
7422,895
7430,896
7491,898
7492,890+899
7494,963
7511,900+901+902+903
8010,921
8022,920
8511,930
8520,931
8531,941
9000,910
9111,942
9191,940
9199,943+949
9211,950
9212,951
9213,954
9214,952+953
9219,955+958
9220,897
9231,957
9232,956
9241,959
9301,961
9302,962
9303,969+990
9500,960
5280,976
5280,977
5280,978
5280,980
9999,999
